LID	AZHtt_NLL
1588	70.0691
1589	0
1590	0
1591	9.58392
1592	0
1593	0
1594	2.84053e-08
1595	0
1596	0
1597	0
1598	0
1599	23.5923
1600	0
1601	186.878
1602	0
1603	0
1604	0
1605	12.8301
1606	0
1607	0
1608	0
1609	0
1610	0
1611	0
1612	0
1613	0
1614	0
1615	0
1616	0
1617	0
1618	0
1619	0
1620	0
1621	2.61372e-07
1622	0
1623	424.55
1624	0
1625	123.173
1626	0
1627	97.6441
1628	5.41899
1629	1.51718e-07
1630	192.322
1631	260.814
1632	0
1633	0
1634	6.33788
1635	0
1636	0
1637	225.908
1638	0
1639	220.775
1640	138.174
1641	13.1539
1642	0
1643	41.9397
1644	0.621488
1645	0
1646	0
1647	3.67456
1648	0
1649	0
1650	0
1651	0
1652	0
1653	6.06766
1654	21.0766
1655	0
1656	0
1657	0.000164509
1658	0
1659	10.3666
1660	129.077
1661	116.727
1662	0
1663	0
1664	0
1665	0
1666	0
1667	0
1668	127.552
1669	0
1670	0
1671	26.3768
1672	1.60707e-07
1673	0
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	0
1681	47.2138
1682	0
1683	114.618
1684	0
1685	0
1686	0
1687	0
1688	0
1689	101.764
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	24.5926
1697	66.336
1698	395.942
1699	0
1700	29.439
1701	66.647
1702	0
1703	26.1609
1704	0
1705	28.9256
1706	0
1707	4.81924
1708	0
1709	0
1710	0
1711	39.1849
1712	0
1713	0
1714	0
1715	0
1716	0
1717	62.0871
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	12.6777
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	4.14631e-05
1735	12.473
1736	0
1737	40.0025
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	0.00372459
1745	0
1746	0
1747	27.0847
1748	0
1749	0
1750	0
1751	0.860668
1752	41.373
1753	0
1754	0
1755	0
1756	0
1757	0.0140757
1758	0
1759	0
1760	0
1761	0
1762	0.000243251
1763	0
1764	0.233476
1765	0
1766	0
1767	0
1768	129.712
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	200.593
1780	0
1781	0
1782	17.3868
1783	36.0885
1784	0
1785	0.418863
1786	0.0635644
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	95.239
1799	0
1800	0
1801	0
1802	0
1803	0
1804	8.26257
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	50.7151
1813	0
1814	0
1815	0
1816	142.259
1817	0
1818	11.2859
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	14.1865
1828	0
1829	1.48671e-05
1830	9.8253
1831	0
1832	0
1833	33.6636
1834	0
1835	0
1836	0
1837	18.7078
1838	0
1839	0
1840	0
1841	0
1842	0
