LID	AZHtt_NLL
1432	0
1433	0
1434	227.164
1435	0
1436	230.114
1437	31.5124
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	118.017
1447	105.649
1448	0
1449	0
1450	0
1451	20.8003
1452	0
1453	0
1454	0
1455	0
1456	0
1457	14.4908
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	7.7199
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	23.9843
1474	0
1475	0
1476	0
1477	9.64617
1478	0
1479	0
1480	0
1481	0
1482	0
1483	5.52605e-10
1484	0.238174
1485	119.333
1486	268.316
1487	53.9717
1488	0
1489	0
1490	5.0659
1491	0
1492	0
1493	0
1494	0
1495	0
1496	81.9751
1497	45.6457
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	142.66
1509	25.077
1510	0
1511	0
1512	0
1513	0
1514	0
1515	0
1516	0
1517	313.835
1518	0
1519	0
1520	83.7978
1521	0
1522	0
1523	0
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0.00565598
1532	19.2526
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	14.2854
1541	0
1542	0
1543	61.0581
1544	0
1545	0
1546	0
1547	27.8642
1548	0
1549	22.8308
1550	0
1551	228.96
1552	0
1553	0
1554	0
1555	0
1556	0
1557	291.279
1558	0
1559	31.2449
1560	0.103265
1561	0
1562	1.56086e-07
1563	0
1564	22.5906
1565	0
1566	0.0067361
1567	0
1568	0.0518449
1569	0
1570	25.6185
1571	0
1572	0
1573	0
1574	0
1575	8.68012
1576	0
1577	33.6747
1578	31.2988
1579	0
1580	193.262
1581	0
1582	0
1583	0
1584	37.2516
1585	0
1586	8.18366
1587	0
1588	76.3438
1589	0
1590	0
1591	12.461
1592	0
1593	0
1594	2.87046e-08
1595	0
1596	0
1597	0
1598	0
1599	23.7598
1600	0
1601	194.343
1602	0
1603	0
1604	0
1605	15.2052
1606	0
1607	0
1608	0
1609	0
1610	0
1611	0
1612	0
1613	0
1614	0
1615	0
1616	0
1617	0
1618	0
1619	0
1620	0
1621	2.64715e-07
1622	0
1623	436.358
1624	0
1625	128.314
1626	0
1627	102.119
1628	5.49507
1629	1.49953e-07
1630	198.509
1631	273.224
1632	0
1633	0
1634	6.48456
1635	0
1636	0
1637	239.451
1638	0
1639	245.241
1640	148.153
1641	13.3363
1642	0
1643	46.1861
1644	0.668685
1645	0
1646	0
1647	3.70318
1648	0
1649	0
1650	0
1651	0
1652	0
1653	6.80408
1654	23.4078
1655	0
1656	0
1657	0.000172647
1658	0
1659	13.0903
1660	132.406
1661	121.131
1662	0
1663	0
1664	0
1665	0
1666	0
1667	0
1668	135.519
1669	0
1670	0
1671	28.9073
1672	1.59518e-07
1673	0
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	0
1681	52.6957
1682	0
1683	121.532
1684	0
1685	0
1686	0
1687	0
1688	0
1689	109.674
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	24.7867
1697	74.6805
1698	411.986
1699	0
1700	33.7911
1701	68.7966
1702	0
1703	30.4592
1704	0
1705	31.8008
1706	0
1707	4.91925
1708	0
1709	0
1710	0
1711	43.6957
1712	0
1713	0
1714	0
1715	0
1716	0
1717	68.5501
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	14.5237
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	3.97287e-05
1735	12.5652
1736	0
1737	46.5582
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	0.00403153
1745	0
1746	0
1747	29.8145
1748	0
1749	0
1750	0
1751	0.97602
1752	46.6036
1753	0
1754	0
1755	0
1756	0
1757	0.0149777
1758	0
1759	0
1760	0
1761	0
1762	0.000258415
1763	0
1764	0.259109
1765	0
1766	0
1767	0
1768	133.795
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	214.964
1780	0
1781	0
1782	19.4841
1783	39.6503
1784	0
1785	0.424162
1786	0.0638213
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	98.2139
1799	0
1800	0
1801	0
1802	0
1803	0
1804	8.47608
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	56.2804
1813	0
1814	0
1815	0
1816	149.151
1817	0
1818	16.3081
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	16.1993
1828	0
1829	1.50275e-05
1830	10.0211
1831	0
1832	0
1833	36.9359
1834	0
1835	0
1836	0
1837	20.7101
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
